vocabPrefix,domain,uri version
SAN,IoT,https://lov.linkeddata.es/dataset/lov/vocabs/SAN/versions/2016-02-26.n3
SAN,Support,https://lov.linkeddata.es/dataset/lov/vocabs/SAN/versions/2016-02-26.n3
acco,eBusiness,https://lov.linkeddata.es/dataset/lov/vocabs/acco/versions/2013-03-25.n3
acl,API,https://lov.linkeddata.es/dataset/lov/vocabs/acl/versions/2012-12-18.n3
acm,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/acm/versions/2013-04-25.n3
acrt,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/acrt/versions/2014-01-23.n3
adms,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/adms/versions/2015-07-22.n3
af,Music,https://lov.linkeddata.es/dataset/lov/vocabs/af/versions/2008-06-23.n3
agls,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/agls/versions/2010-06-30.n3
agr,Contracts,https://lov.linkeddata.es/dataset/lov/vocabs/agr/versions/2017-10-09.n3
agr,Government,https://lov.linkeddata.es/dataset/lov/vocabs/agr/versions/2017-10-09.n3
agrelon,People,https://lov.linkeddata.es/dataset/lov/vocabs/agrelon/versions/2018-10-16.n3
aiiso,Academy,https://lov.linkeddata.es/dataset/lov/vocabs/aiiso/versions/2008-09-25.n3
airs,Services,https://lov.linkeddata.es/dataset/lov/vocabs/airs/versions/2015-02-15.n3
akt,Society,https://lov.linkeddata.es/dataset/lov/vocabs/akt/versions/2003-02-10.n3
akts,Support,https://lov.linkeddata.es/dataset/lov/vocabs/akts/versions/2003-02-10.n3
algo,Security,https://lov.linkeddata.es/dataset/lov/vocabs/algo/versions/2015-01-11.n3
am,PLM,https://lov.linkeddata.es/dataset/lov/vocabs/am/versions/2012-08-24.n3
aml,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/aml/versions/2016-03-23.n3
aml,Support,https://lov.linkeddata.es/dataset/lov/vocabs/aml/versions/2016-03-23.n3
ao,Support,https://lov.linkeddata.es/dataset/lov/vocabs/ao/versions/2010-09-13.n3
aos,People,https://lov.linkeddata.es/dataset/lov/vocabs/aos/versions/2012-11-15.n3
api,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/api/versions/2010-02-19.n3
apps4X,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/apps4X/versions/2014-06-19.n3
arch,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/arch/versions/2012-07-03.n3
arp,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/arp/versions/2018-01-15.n3
arp,Geometry,https://lov.linkeddata.es/dataset/lov/vocabs/arp/versions/2018-01-15.n3
atd,IoT,https://lov.linkeddata.es/dataset/lov/vocabs/atd/versions/2018-03-28.n3
atd,Transport,https://lov.linkeddata.es/dataset/lov/vocabs/atd/versions/2018-03-28.n3
atm,Transport,https://lov.linkeddata.es/dataset/lov/vocabs/atm/versions/2018-03-28.n3
